Seed;BankId;Deposits;Loans;Capital;NPL;CAR;GovBonds;InterbankNet;Failed
1;0;2708060131.63;267375176.19;746779688.73;0.020000;2.298300;1130840508.85;0.00;false
1;1;1419188617.43;166650631.47;426320842.58;0.035400;2.279500;623308903.55;0.00;false
1;2;995819906.51;106995502.48;309947255.29;0.020700;2.499900;445608580.46;0.00;false
1;3;1090345975.17;145017693.67;304265081.59;0.027900;1.919300;457459848.81;0.00;false
1;4;1004014619.76;121377343.99;317838393.20;0.018200;2.294400;444387959.29;0.00;false
1;5;492727265.88;51802440.14;168553270.17;0.035300;2.800000;226438404.03;0.00;false
1;6;5906651873.69;633229412.47;1595092132.56;0.031500;2.234100;2451256164.98;0.00;false
2;0;2433882648.99;283364684.68;701729343.60;0.020200;2.100600;1045269931.63;0.00;false
2;1;1618752209.54;204015430.80;468339201.49;0.018200;2.026200;715085501.64;0.00;false
2;2;842601042.02;103428647.64;262920220.13;0.037300;2.250300;389259881.53;0.00;false
2;3;1278100157.79;149407284.05;361210624.00;0.026000;2.166400;545637027.97;0.00;false
2;4;1075713092.85;117329179.80;354925136.31;0.019000;2.582100;474930378.41;0.00;false
2;5;307753059.84;43737719.72;125905539.52;0.036800;2.544800;156418354.54;0.00;false
2;6;5902312431.43;643796002.42;1587834283.14;0.021800;2.180900;2498656604.85;0.00;false
3;0;2927061020.14;284961670.53;780475452.73;0.021200;2.294700;1226237537.64;0.00;false
3;1;1968542142.91;201902849.31;572480991.33;0.031000;2.442200;838416152.28;0.00;false
3;2;1040559358.92;139012126.53;342933192.93;0.014300;2.110000;477162355.35;0.00;false
3;3;771989761.46;116026041.64;232862672.58;0.041300;1.819000;351546060.69;0.00;false
3;4;1026404690.00;127688103.95;321226690.76;0.017000;2.201600;459974687.86;0.00;false
3;5;293447563.21;36442213.13;119104491.71;0.033900;2.771300;150346591.24;0.00;false
3;6;5382494942.61;568312242.90;1469784019.51;0.030600;2.272900;2285113498.88;0.00;false
4;0;2574089735.35;286165316.35;666546674.13;0.021800;1.971600;969810781.26;0.00;false
4;1;1598577166.50;217642715.93;458924901.40;0.018700;1.887800;624411615.12;0.00;false
4;2;1093354121.76;120219045.48;308402888.02;0.033000;2.199400;428087377.41;0.00;false
4;3;1183534976.32;144718228.12;289510126.58;0.019600;1.802400;441394637.16;0.00;false
4;4;976429803.26;110730902.65;282956321.03;0.016900;2.233200;377519077.46;0.00;false
4;5;308997510.38;37079360.80;117247892.08;0.029700;2.696900;139978292.58;0.00;false
4;6;6511045614.94;703408343.94;1587818169.88;0.017400;1.978900;2419671060.76;0.00;false
5;0;2180249883.28;246985323.76;600010555.70;0.023500;2.043000;985407871.18;0.00;false
5;1;1716158729.13;198876523.59;524298045.37;0.020900;2.307700;780099266.67;0.00;false
5;2;1288487633.65;136106420.61;359975696.20;0.018200;2.325900;580097666.58;0.00;false
5;3;767051344.56;113852219.87;247966050.92;0.035500;1.981700;364424392.87;0.00;false
5;4;1248193344.03;125989387.81;347423904.21;0.017400;2.405100;558207376.20;0.00;false
5;5;398019450.19;58118903.05;161570539.74;0.023700;2.303600;213544631.87;0.00;false
5;6;5841621435.05;646908189.75;1485601850.28;0.020000;2.052600;2596400733.29;0.00;false
6;0;2469980825.94;252358294.96;628510578.41;0.021400;2.047500;1005766277.21;0.00;false
6;1;1433259865.57;185876996.18;436791276.83;0.043500;2.096300;609798213.80;0.00;false
6;2;1056080314.18;109163194.31;313135446.56;0.031900;2.498200;442939649.66;0.00;false
6;3;999927703.42;136049599.27;286256530.06;0.045200;1.895100;416611025.25;0.00;false
6;4;1005465036.43;113137081.91;293300523.39;0.025700;2.281100;416007296.18;0.00;false
6;5;383733953.55;48884842.70;144235447.81;0.039300;2.500300;181472212.90;0.00;false
6;6;6369297341.85;624574960.39;1659913462.13;0.025300;2.352400;2526095368.96;0.00;false
7;0;2083666781.70;245059796.32;544711529.42;0.031600;1.897700;1049230456.56;0.00;false
7;1;1467710190.73;189459881.80;400245703.75;0.025700;1.900900;752660417.98;0.00;false
7;2;1450074283.32;147373752.52;379858459.38;0.018200;2.249100;731699474.37;0.00;false
7;3;915820475.97;133773420.14;263289278.00;0.028400;1.785900;473128909.79;0.00;false
7;4;991461065.85;117954421.17;282294202.57;0.021800;2.141800;512250128.21;0.00;false
7;5;376441451.40;48243781.07;130657722.03;0.041900;2.382500;208650009.56;0.00;false
7;6;5726526370.37;637248930.47;1478813538.20;0.023400;2.089000;2827303174.23;0.00;false
8;0;2253770337.79;239970121.91;648430859.66;0.029600;2.265300;1074978329.99;0.00;false
8;1;1590605176.53;176022552.49;465201935.81;0.025300;2.365400;765595033.78;0.00;false
8;2;1180697603.99;123279336.13;355238326.44;0.019600;2.540500;572816384.03;0.00;false
8;3;1000617044.76;141603999.10;312440398.64;0.018400;1.895300;503495170.94;0.00;false
8;4;774975492.40;96585499.18;245130293.49;0.022300;2.237900;391904282.26;0.00;false
8;5;343575594.18;40597091.37;126668995.11;0.036400;2.686100;187378827.45;0.00;false
8;6;6048797768.07;629162124.58;1621514110.08;0.031000;2.276300;2834470874.28;0.00;false
9;0;2851121976.60;287787253.61;745508942.71;0.016500;2.157600;1160514785.25;0.00;false
9;1;1782646693.15;203486241.80;503820666.14;0.024300;2.182100;741844278.11;0.00;false
9;2;890026624.86;104298360.50;267417315.71;0.028800;2.242100;389301525.63;0.00;false
9;3;869338535.58;123356777.27;265475562.91;0.020900;1.941000;374951902.23;0.00;false
9;4;1076812511.72;135479958.92;309332621.50;0.015700;1.964500;464762376.85;0.00;false
9;5;358570703.23;42998149.57;128713508.64;0.051600;2.614300;169743543.43;0.00;false
9;6;5678462786.78;579679578.74;1482681245.44;0.021900;2.224400;2303160644.01;0.00;false
10;0;1989298402.85;222178980.70;609390294.57;0.024300;2.286100;857227808.41;0.00;false
10;1;1427906608.16;168546975.49;464749871.65;0.025200;2.420400;625030828.25;0.00;false
10;2;1120453410.97;111839112.78;325549183.90;0.022200;2.511000;480572131.18;0.00;false
10;3;943753853.84;116891174.21;283281888.75;0.033000;2.130200;408591214.93;0.00;false
10;4;1223455996.08;124026355.95;326952510.39;0.057900;2.279900;512628158.65;0.00;false
10;5;625921957.23;67571853.35;203335661.35;0.023400;2.612000;273344615.86;0.00;false
10;6;6226287250.75;597100912.75;1664262458.38;0.029800;2.424900;2530558230.71;0.00;false
