Seed;Firm_Living;FirmSize_Micro;FirmSize_Small;FirmSize_Medium;FirmSize_Large;FirmSize_MicroShare;FirmSize_SmallShare;FirmSize_MediumShare;FirmSize_LargeShare
1;11023;10014;907;80;22;0.908500;0.082300;0.007300;0.002000
2;10884;9972;811;83;18;0.916200;0.074500;0.007600;0.001700
3;10814;9863;859;72;20;0.912100;0.079400;0.006700;0.001800
4;10864;9734;1014;92;24;0.896000;0.093300;0.008500;0.002200
5;11022;9998;927;78;19;0.907100;0.084100;0.007100;0.001700
6;10995;9924;972;76;23;0.902600;0.088400;0.006900;0.002100
7;11305;10320;898;67;20;0.912900;0.079400;0.005900;0.001800
8;10841;9878;871;73;19;0.911200;0.080300;0.006700;0.001800
9;11105;10042;962;79;22;0.904300;0.086600;0.007100;0.002000
10;10796;9887;809;74;26;0.915800;0.074900;0.006900;0.002400
