Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84546;6107;80;0;11006.04;10565.33;5255.31;10173.59;16466.44;-42624.58;32562.20;0.284300;0.001300;0.678800;0.031600;4;1;0.00;3681.48;10488.70;0.000000;0.00;0.138600;0.073500
2;82483;5273;77;0;11133.41;10566.18;5245.80;10144.00;16470.67;-45522.63;32363.76;0.280100;0.002800;0.678600;0.030900;0;2;0.00;3660.41;10514.87;0.000000;0.00;0.132600;0.065800
3;82280;6904;2371;0;10704.09;10564.65;5205.65;10172.53;16428.41;-46020.81;29902.02;0.309400;0.002900;0.677000;0.032500;13;128;0.00;3294.48;10245.61;0.000000;0.00;0.164300;0.105000
4;88993;6222;60;0;10968.30;10566.49;5252.14;10151.40;16505.53;-34257.09;32790.29;0.281700;0.002100;0.676200;0.032800;0;3;0.00;3686.69;10461.36;0.000000;0.00;0.135800;0.070800
5;82876;5806;163;0;11043.45;10565.90;5224.67;10198.94;16518.21;-40895.04;32060.24;0.283200;0.002900;0.677100;0.032700;12;3;0.00;3705.14;10494.34;0.000000;0.00;0.139100;0.072400
6;85808;6270;104;0;10970.55;10564.95;5252.14;10189.43;16376.63;-38124.86;33048.05;0.283900;0.003300;0.678100;0.032800;6;4;0.00;3746.93;10464.87;0.000000;0.00;0.140700;0.074800
7;77213;7279;2260;0;10677.66;10566.48;5271.16;10194.72;16384.03;-42391.71;28973.14;0.314000;0.002900;0.675100;0.036700;8;105;0.00;3286.79;10305.15;0.000000;0.00;0.169300;0.113400
8;80628;5543;210;0;11094.94;10565.95;5211.99;10145.06;16410.44;-45512.08;31901.08;0.284800;0.001800;0.678400;0.032000;11;1;0.00;3616.07;10457.03;0.000000;0.00;0.138400;0.071400
9;86056;6193;57;0;11009.85;10565.91;5265.88;10166.19;16518.21;-39449.19;32447.95;0.282200;0.002800;0.676900;0.032800;6;0;0.00;3678.17;10412.81;0.000000;0.00;0.137700;0.072600
10;85513;5767;5;0;11098.27;10565.38;5232.07;10123.93;16589.00;-42647.16;32237.32;0.281100;0.003000;0.677200;0.030500;4;0;0.00;3650.99;10446.82;0.000000;0.00;0.133900;0.067700
