Seed;Firm_Living;FirmSize_Micro;FirmSize_Small;FirmSize_Medium;FirmSize_Large;FirmSize_MicroShare;FirmSize_SmallShare;FirmSize_MediumShare;FirmSize_LargeShare
1;11915;11558;278;59;20;0.970000;0.023300;0.005000;0.001700
2;11770;11424;264;67;15;0.970600;0.022400;0.005700;0.001300
3;11196;10285;806;81;24;0.918600;0.072000;0.007200;0.002100
4;11559;11208;248;85;18;0.969600;0.021500;0.007400;0.001600
5;11501;11146;263;74;18;0.969100;0.022900;0.006400;0.001600
6;11892;11533;269;71;19;0.969800;0.022600;0.006000;0.001600
7;11583;11246;255;65;17;0.970900;0.022000;0.005600;0.001500
8;11449;11008;352;71;18;0.961500;0.030700;0.006200;0.001600
9;12260;11934;236;70;20;0.973400;0.019200;0.005700;0.001600
10;11461;10926;427;84;24;0.953300;0.037300;0.007300;0.002100
