Seed;BankId;Deposits;Loans;Capital;NPL;CAR;GovBonds;InterbankNet;Failed
1;0;3087762263.42;274376105.01;718084171.29;0.003600;2.251600;1620858737.38;0.00;false
1;1;1599239267.12;168308737.10;403657481.55;0.008000;2.167300;875726099.51;0.00;false
1;2;1150405325.01;99739057.52;301604568.10;0.003100;2.656000;630755157.34;0.00;false
1;3;1165454338.79;113268328.50;282655141.40;0.006300;2.260800;631386713.97;0.00;false
1;4;1205285754.55;117170118.12;301365124.55;0.007300;2.286800;654700125.79;0.00;false
1;5;530885056.67;52911772.97;148389856.60;0.000100;2.483600;307136296.69;0.00;false
1;6;6482336879.35;585059418.46;1494891794.01;0.005600;2.289600;3436889058.92;0.00;false
2;0;2833309826.65;267058050.87;734766065.53;0.030000;2.405900;1490475688.21;0.00;false
2;1;1870278534.59;184080227.60;512036404.94;0.034600;2.522500;1016809779.76;0.00;false
2;2;1000923695.55;100901770.93;282335091.93;0.032200;2.540100;556838450.74;0.00;false
2;3;1370862760.95;151664095.60;342952607.55;0.004400;2.061100;761511593.57;0.00;false
2;4;1287592491.49;115633928.51;401873464.37;0.025900;3.140100;698289782.77;0.00;false
2;5;372389807.49;42765399.06;124057435.14;0.005400;2.594100;221013472.87;0.00;false
2;6;6692024560.06;599381713.71;1680577229.58;0.029300;2.547700;3530860746.75;0.00;false
3;0;3507255716.55;294108627.63;851077114.60;0.008000;2.529700;1752222678.51;0.00;false
3;1;2297093595.88;188473976.07;616966827.44;0.007700;2.929600;1186992688.71;0.00;false
3;2;1104172778.27;126787076.28;382956406.14;0.012600;2.684600;619995785.32;0.00;false
3;3;904436728.05;102475275.98;249059138.90;0.007200;2.228400;482887722.58;0.00;false
3;4;1284274346.78;107215392.50;376552290.53;0.013200;3.136600;662454526.18;0.00;false
3;5;368883250.89;35964133.73;125642998.91;0.008500;3.008100;207910609.94;0.00;false
3;6;6263708326.73;547024692.37;1554302802.26;0.008500;2.553800;3187097298.50;0.00;false
4;0;2975555573.56;264221318.83;667665385.13;0.004900;2.202200;1511368477.37;0.00;false
4;1;1817105145.89;192162639.41;452198992.10;0.005400;2.120400;958748931.86;0.00;false
4;2;1261074577.44;121080106.66;290845794.07;0.000800;2.101800;667947847.94;0.00;false
4;3;1288319468.73;116057518.25;289389183.27;0.004900;2.250700;662777810.11;0.00;false
4;4;1097943844.01;103918289.53;282609773.03;0.003800;2.443000;578911674.68;0.00;false
4;5;369620482.42;41832247.00;111912601.92;0.002000;2.352800;210009287.25;0.00;false
4;6;7265985045.15;642566245.82;1593416872.64;0.005500;2.221200;3698760867.00;0.00;false
5;0;2528167351.85;251893785.85;608167385.85;0.004300;2.094400;1315093152.37;0.00;false
5;1;1948422440.44;189323671.17;526193380.36;0.003600;2.486000;1038395452.40;0.00;false
5;2;1441189853.89;129596336.82;363315063.67;0.005600;2.532100;765410443.09;0.00;false
5;3;877670963.28;109522499.99;243841339.36;0.009700;2.053500;480166995.04;0.00;false
5;4;1431875592.02;121659236.18;349488061.14;0.007300;2.551500;755399468.33;0.00;false
5;5;532572256.06;60049515.06;165256998.84;0.002000;2.300900;301515859.86;0.00;false
5;6;6640520965.48;621391163.58;1542998005.88;0.004400;2.257700;3455958429.22;0.00;false
6;0;2853416619.04;259106860.92;660394941.96;0.007400;2.196700;1481681417.41;0.00;false
6;1;1656115853.69;155763270.38;447182574.78;0.007800;2.564100;890631523.26;0.00;false
6;2;1221807763.31;110297540.01;322236720.07;0.010400;2.626800;654437329.48;0.00;false
6;3;1144284611.79;112976850.93;312160729.63;0.016800;2.545800;613900043.03;0.00;false
6;4;1177901461.16;112233689.16;318545937.89;0.020400;2.580200;619866101.81;0.00;false
6;5;468912117.52;47690912.93;138707941.25;0.014800;2.432300;270641519.90;0.00;false
6;6;7209545420.30;582598277.93;1736726707.50;0.011000;2.692500;3721428234.56;0.00;false
7;0;2505021687.31;230644548.10;576570016.66;0.003600;2.158900;1331003820.58;0.00;false
7;1;1719144995.02;172614357.13;418092093.15;0.002700;2.170800;943841276.29;0.00;false
7;2;1714866972.49;156361234.57;413425316.76;0.004800;2.374800;929374410.11;0.00;false
7;3;1059186214.17;122058551.62;272490121.12;0.001100;2.028600;592765295.74;0.00;false
7;4;1180186978.95;115790945.02;295997426.25;0.001100;2.315100;652027885.44;0.00;false
7;5;456740592.57;43829837.49;131082008.97;0.000600;2.618900;262100384.38;0.00;false
7;6;6543125721.77;614595876.06;1556138107.71;0.004100;2.298800;3492085238.45;0.00;false
8;0;2626599717.30;247364622.62;622583211.79;0.005800;2.164600;1414249452.63;0.00;false
8;1;1768872003.42;173539680.33;447421300.82;0.009800;2.336500;987986683.30;0.00;false
8;2;1340774179.05;126772591.00;344918361.86;0.004400;2.451800;746995625.78;0.00;false
8;3;1174210809.16;141769850.06;307050714.02;0.001500;1.933000;671646753.23;0.00;false
8;4;902641359.21;99675405.03;237027562.57;0.003900;2.156600;515102363.55;0.00;false
8;5;402303054.58;37701482.29;117745446.48;0.002200;2.736700;240506338.32;0.00;false
8;6;6853883785.58;608405039.22;1604269530.07;0.005500;2.384200;3695647580.62;0.00;false
9;0;3321151972.09;303220354.92;734318580.30;0.003600;2.099900;1723946982.32;0.00;false
9;1;1997511351.50;189520836.20;470009564.20;0.003300;2.207900;1077699746.72;0.00;false
9;2;1027721989.99;96588200.49;259775569.40;0.006200;2.362600;564555059.79;0.00;false
9;3;973771245.14;111245703.68;257776676.20;0.006300;2.114800;532424024.20;0.00;false
9;4;1319977151.46;116660603.05;323616746.73;0.009800;2.396300;709671966.29;0.00;false
9;5;436369672.23;46907835.96;120908238.46;0.000100;2.248200;245451390.93;0.00;false
9;6;6384752185.92;565743185.70;1447602436.42;0.011300;2.273600;3325842771.53;0.00;false
