Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85541;5793;43;0;14673.06;12756.37;6342.57;12247.59;19921.95;-6941.62;44674.01;0.281600;0.001000;0.678300;0.031200;6;0;0.00;5404.17;13627.31;0.000000;0.00;0.133900;0.067400
2;82288;6143;49;0;14674.03;12728.88;6338.65;12261.10;19787.30;-12426.45;44059.61;0.283600;0.002300;0.677400;0.031300;6;0;0.00;5298.69;13484.50;0.000000;0.00;0.139500;0.075000
3;84753;7378;186;0;14481.00;12694.30;6353.85;12189.75;19796.60;-10820.22;43928.97;0.292300;0.002300;0.674600;0.035300;43;0;0.00;5124.30;13282.90;0.000000;0.00;0.144100;0.084800
4;85932;9410;414;0;13882.58;12276.20;6221.46;11820.54;19010.58;-6139.82;43887.57;0.303500;0.001800;0.672400;0.039700;66;6;0.00;4796.27;12619.16;0.000000;0.00;0.158300;0.104900
5;82743;6404;425;0;14458.86;12627.07;6295.10;12191.16;19698.57;-10362.57;44223.41;0.288100;0.002400;0.675100;0.034700;24;15;0.00;5291.49;13347.08;0.000000;0.00;0.143600;0.080100
6;84611;7967;185;0;14052.87;12299.62;6227.21;11855.45;18973.15;-2533.63;44777.75;0.294200;0.002800;0.675000;0.037800;22;0;0.00;4978.28;12783.38;0.000000;0.00;0.148200;0.090900
7;81975;5509;44;0;14843.85;12854.59;6398.55;12340.79;20136.54;-6079.35;44413.58;0.279600;0.002300;0.676400;0.031900;2;0;0.00;5591.08;13769.07;0.000000;0.00;0.133000;0.067600
8;79734;7017;300;0;14362.26;12566.34;6282.23;12124.61;19467.49;-9953.43;43424.27;0.293000;0.001500;0.675200;0.036000;26;4;0.00;5091.24;13066.01;0.000000;0.00;0.148100;0.087500
9;86824;6111;84;0;14571.65;12727.91;6357.21;12204.06;19939.63;-242.87;44433.50;0.281900;0.002400;0.676200;0.032500;11;0;0.00;5343.25;13527.90;0.000000;0.00;0.134400;0.070200
10;84711;7184;84;0;14467.20;12611.15;6275.76;12076.05;19785.81;-6850.31;43967.15;0.291800;0.002600;0.674000;0.035700;18;0;0.00;5136.65;13293.72;0.000000;0.00;0.143600;0.082000
