Lambda;BDP;Seeds;TotalAdoption_mean;TotalAdoption_sd;AutoRatio_mean;AutoRatio_sd;HybridRatio_mean;HybridRatio_sd;PrivateGrossInvestmentToGdp_mean;PrivateGrossInvestmentToGdp_sd;Inflation_mean;Inflation_sd;RefRate_mean;RefRate_sd;MarketWage_mean;MarketWage_sd;Unemployment_mean;Unemployment_sd;DebtToGdp_mean;DebtToGdp_sd;DeficitToGdp_mean;DeficitToGdp_sd
0.0;0.0;10.0;0.0897;0.0032090150790823296;0.03625;0.0017277152543170996;0.05345;0.002692479237514089;0.09899;0.002881531228743188;0.02904;0.017143460042308326;0.03083;0.007221426451886082;10565.5734;0.0;0.07401;0.016975436502324304;0.6934400000000001;0.046467245333556055;0.0769;0.014007220360307833
0.0;500.0;10.0;0.09053;0.0027880897482764847;0.03733;0.002275009157490726;0.0532;0.002047220337704545;0.09784;0.0020194608741498873;0.03076;0.017618500377601824;0.03201;0.007621818097482457;10565.5734;0.0;0.06802;0.014005935249822564;0.75986;0.038890621548703035;0.09256;0.007511354368184505
0.0;1000.0;10.0;0.08929000000000001;0.0033181152615436517;0.03587;0.0022090973521126478;0.05342;0.002717760515980431;0.0967;0.0014368174708168186;0.03211;0.018080219393949108;0.03312;0.008114705444096195;10565.5734;0.0;0.0634;0.0024335616331258637;0.83081;0.04426522211498422;0.11007;0.008640994027181005
0.0;1500.0;10.0;0.08674;0.0066091182804096085;0.03423;0.0031812122078087018;0.05251;0.003994843899050097;0.09921;0.0038115176329995737;0.03178;0.017295779832086206;0.03306;0.008273545525079048;10565.5734;0.0;0.06542;0.0049389157604568315;0.90649;0.05282380460865475;0.12942;0.010630647518691728
0.0;2000.0;10.0;0.08771999999999999;0.002711211291409555;0.03453;0.001950526994316037;0.05319;0.002317302071135503;0.09759999999999999;0.0016792855623746644;0.03405;0.017653595793617926;0.03363;0.009091149542274617;10565.5734;0.0;0.07029;0.012355695942447847;0.96427;0.04246839478430468;0.14461;0.008280559562412838
0.0;2500.0;10.0;0.08753;0.0025289655329139337;0.03442;0.0022329850474694666;0.053110000000000004;0.0017470292244582263;0.09860000000000001;0.0019476481543988736;0.03436;0.017900974523441145;0.03419;0.009124868339993856;10565.5734;0.0;0.06742;0.008944122837558379;1.02675;0.03823538936639718;0.15887;0.007903873874387304
0.0;3000.0;10.0;0.08802;0.0016558314460650208;0.03422;0.0010206751578135792;0.0538;0.0017009801096230768;0.09884;0.0017231753634883878;0.03455;0.0186369555215199;0.03464;0.009469154602650066;10565.5734;0.0;0.06747;0.002190915587399731;1.0864099999999999;0.037747919736648344;0.17876;0.007954481615905451
0.25;0.0;10.0;0.0897;0.0032090150790823296;0.03625;0.0017277152543170996;0.05345;0.002692479237514089;0.09899;0.002881531228743188;0.02904;0.017143460042308326;0.03083;0.007221426451886082;10565.5734;0.0;0.07401;0.016975436502324304;0.6934400000000001;0.046467245333556055;0.0769;0.014007220360307833
0.25;500.0;10.0;0.09235;0.0032045973919424624;0.03812;0.002775608041492889;0.05423;0.0020704535198303236;0.09776;0.0021955510571253956;0.03075;0.01709952890839069;0.03194;0.007736235087775794;10565.5734;0.0;0.06873;0.013862262922529402;0.7615;0.04193068354108031;0.09329;0.01113317864163989
0.25;1000.0;10.0;0.09193;0.0035687065817557317;0.03702;0.0030904152903237243;0.05491;0.0019028925350633964;0.09699;0.001990226117806718;0.03179;0.016965091609930472;0.033030000000000004;0.007625403450164311;10565.5734;0.0;0.06395;0.002832058536745939;0.82879;0.04220167058304684;0.10938;0.008253591810707494
0.25;1500.0;10.0;0.09301;0.00413560421489076;0.03766;0.002946259398702776;0.05535;0.002990447755400147;0.09691;0.002463263418042548;0.03362;0.017809972237797313;0.03356;0.008525412990973907;10565.5734;0.0;0.06679;0.008205479199223462;0.89534;0.040051805341471326;0.12623;0.007446110095583843
0.25;2000.0;10.0;0.09366;0.0020865708178199414;0.03885;0.002362790252599196;0.05481;0.0020888327415621924;0.09706000000000001;0.0017765134392961953;0.03435;0.01802610760967424;0.03417;0.008827111016005683;10565.5734;0.0;0.06476;0.002252504778635947;0.96022;0.04080857208425158;0.14163;0.0074839160871832296
